text,label,language,subcategory,term_used
hey dekhai de छुँदै छुँदै,1,nepali,coercive_threat,छुँदै छुँदै
yo manche नांगीन ho timi,1,nepali,gendered_insults,नांगीन
u फटाहा mentality,1,nepali,slurs,फटाहा
We will meet tomorrow at 10am,0,mixed,neutral,
Malaai yo kurama sanchai lagyo slut jasto,0,romanized_nepali,hybrid,slut jasto
yo manche timi भेंडी chau,1,nepali,dehumanizing,भेंडी
ma timro तोहार बात बहुत खराब hoina ni,1,tharu,contexts,तोहार बात बहुत खराब
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
How are you?,0,mixed,neutral,
I like this article,0,mixed,neutral,
That is a beautiful picture,0,mixed,neutral,
she m.u.j.i ho timi,1,romanized_nepali,strong_slurs,muji
I like this article,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
स्यालनी mentality,1,nepali,strong_slurs,स्यालनी
timi m o t i mentality,1,romanized_nepali,body_shaming,moti
Can you share the document?,0,mixed,neutral,
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
hey खान दे jasto behave gareki,1,nepali,sexualized,खान दे
dekhai de t0r1,1,romanized_nepali,strong_slurs,tori
yo manche send फटाहा photo,1,nepali,slurs,फटाहा
Thank you for your help स्यालनी,0,nepali,slurs,स्यालनी
Kehi khana khana jane? kasto attitude,0,romanized_nepali,contextual_phrases,kasto attitude
send k-a-l-i photo,1,romanized_nepali,body_shaming,kali
hey भेंडी ho timi,1,nepali,strong_slurs,भेंडी
ma timro dekhaide hoina ni,1,romanized_nepali,sexualized,dekhaide
How are you? मुजी,0,nepali,slurs,मुजी
हड्डी mindset,1,nepali,body_shaming,हड्डी
The meeting is scheduled for Monday,0,mixed,neutral,
Thank you for your help,0,mixed,neutral,
yo manche kvkvrn1 jasto ho,1,romanized_nepali,gendered_insults,kukurni
देखाइदे mindset,1,nepali,sexualized,देखाइदे
Can you share the document?,0,mixed,neutral,
she रांड mentality,1,bhojpuri,slurs,रांड
Please send the report by Friday sutnesani,0,romanized_nepali,sexual_phrases,sutnesani
Tapaiko din kasto garyo?,0,mixed,neutral,
hey ma timro भ्याग्री hoina ni,1,nepali,slurs,भ्याग्री
Ramro kam gareko chau,0,mixed,neutral,
she ma timro b.h.y.a.g.r.i hoina ni,1,romanized_nepali,slurs,bhyagri
hey जेट्ठी haru sabai,1,nepali,dehumanizing,जेट्ठी
Thank you for your help,0,mixed,neutral,
yo manche c.h.i.m.m.a.t.i mindset,1,romanized_nepali,body_shaming,chimmati
Can you share the document?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
Please send the report by Friday,0,mixed,neutral,
How are you?,0,mixed,neutral,
timilai न्हयाथा येन jasto lagcha,1,newari,contexts,न्हयाथा येन
hey send ल्होकी photo,1,tamang,gendered,ल्होकी
Can you share the document?,0,mixed,neutral,
u u look like इक्वासा,1,newari,slurs,इक्वासा
Kehi khana khana jane?,0,mixed,neutral,
Can you share the document? balatkar garne,0,romanized_nepali,coercive_threat,balatkar garne
I like this article,0,mixed,neutral,
dekhai de कुकुर्नी,1,nepali,dehumanizing,कुकुर्नी
hey m-o-t-i mentality,1,romanized_nepali,gendered_insults,moti
u देखाइदे mindset,1,nepali,sexualized,देखाइदे
u m.o.t.i ho timi,1,romanized_nepali,gendered_insults,moti
she balatkar garne jasto behave gareki,1,romanized_nepali,coercive_threat,balatkar garne
Malaai yo kurama sanchai lagyo,0,mixed,neutral,
yo manche मोटी jasto ho,1,nepali,gendered_insults,मोटी
e-a-s-y- -c-h-a jasto ho,1,romanized_nepali,contextual_phrases,easy cha
timi b-a-l-a-t-k-a-r- -g-a-r-n-e ho timi,1,romanized_nepali,coercive_threat,balatkar garne
How are you?,0,mixed,neutral,
Tapaiko din kasto garyo?,0,mixed,neutral,
yo manche dekhai de dekhaide,1,romanized_nepali,sexualized,dekhaide
